,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
742,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,278868,1955,abdulla_bin_ahmad_al_ghurair
743,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,202520,1955,abdulla_bin_ahmad_al_ghurair
744,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2019,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,129030000,183780,1955,abdulla_bin_ahmad_al_ghurair
745,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,261928,1955,abdulla_bin_ahmad_al_ghurair
746,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,399254,1955,abdulla_bin_ahmad_al_ghurair
747,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,536021,1955,abdulla_bin_ahmad_al_ghurair
748,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,410391,1955,abdulla_bin_ahmad_al_ghurair
749,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,558904,1955,abdulla_bin_ahmad_al_ghurair
750,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,463109,1955,abdulla_bin_ahmad_al_ghurair
751,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,353506,1955,abdulla_bin_ahmad_al_ghurair
752,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,278868,1955,abdulla_bin_ahmad_al_ghurair
753,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,202520,1955,abdulla_bin_ahmad_al_ghurair
754,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2020,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,101787000,183780,1955,abdulla_bin_ahmad_al_ghurair
755,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,261928,1955,abdulla_bin_ahmad_al_ghurair
756,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,399254,1955,abdulla_bin_ahmad_al_ghurair
757,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,536021,1955,abdulla_bin_ahmad_al_ghurair
758,Abdulla bin Ahmad Al Ghurair,Al Ghurair,67,M,2021,United Arab Emirates-Dubai,Mashreq Bank,Diversified,diversified,Diversified;Banking,,,are,73920000,410391,1955,abdulla_bin_ahmad_al_ghurair
